iter	Passed	Remaining
1585	121207	643024
1586	121281	642936
1587	121356	642852
1588	121439	642811
1589	121515	642733
1590	121594	642669
1591	121669	642586
1592	121744	642504
1593	121820	642423
1594	121894	642333
1595	121968	642242
1596	122043	642159
1597	122117	642071
1598	122191	641984
1599	122265	641893
1600	122339	641803
1601	122413	641717
1602	122494	641664
1603	122569	641581
1604	122645	641500
1605	122721	641424
1606	122796	641336
1607	122871	641257
1608	122948	641181
1609	123021	641087
1610	123097	641009
1611	123172	640925
1612	123248	640846
1613	123323	640760
1614	123399	640684
1615	123479	640624
1616	123554	640540
1617	123629	640459
1618	123708	640393
1619	123785	640323
1620	123860	640239
1621	123934	640151
1622	124012	640083
1623	124093	640029
1624	124169	639950
1625	124244	639865
1626	124318	639778
1627	124394	639699
1628	124478	639661
1629	124565	639640
1630	124640	639557
1631	124715	639471
1632	124791	639394
1633	124868	639319
1634	124944	639240
1635	125020	639161
1636	125100	639106
1637	125175	639023
1638	125253	638952
1639	125328	638870
1640	125402	638781
1641	125479	638705
1642	125564	638675
1643	125639	638592
1644	125722	638548
1645	125797	638462
1646	125873	638388
1647	125947	638298
1648	126023	638218
1649	126098	638132
1650	126176	638066
1651	126251	637982
1652	126325	637896
1653	126400	637810
1654	126477	637737
1655	126561	637696
1656	126635	637610
1657	126708	637518
1658	126783	637433
1659	126857	637345
1660	126932	637263
